LGUs,Category,LGU Score Percentage,Province,Revenue
Manay,Second Class Municipality,0.042,Davao Oriental,8503930.89
Mandaon,Third Class Municipality,0.024,Masbate Province,2881828.64
Mangaldan,First Class Municipality,0.021,Pangasinan,88127863.05
Mangatarem,First Class Municipality,0.013,Pangasinan,27168481.71
Mangudadatu,Sixth Class Municipality,0.008,Maguindanao,1336900
Manito,Fourth Class Municipality,0.024,Albay,194759342.6
Manjuyod,Second Class Municipality,0.018,Negros Oriental,11539543.48
Mankayan,First Class Municipality,0.098,Benguet,203164978.9
Manolo Fortich,First Class Municipality,0.069,Bukidnon,242430681.6
Mansalay,Second Class Municipality,0.032,Oriental Mindoro,248064500
Manticao,Fourth Class Municipality,0.019,Misamis Oriental,19182335.79
Manukan,Third Class Municipality,0.05,Zamboanga Del Norte,229440240.1
Mapanas,Fifth Class Municipality,0.012,Northern Samar,2232038.04
Mapandan,Third Class Municipality,0.012,Pangasinan,180618294.2
Mapun,Fourth Class Municipality,0.035,Tawi-Tawi,725507.52
Marabut,Fifth Class Municipality,0.012,Samar (Western Samar),3312268.55
Maragondon,Third Class Municipality,0.005,Cavite,31464592.97
Maragusan,First Class Municipality,0.094,Davao De Oro,374026146.9
Maramag,First Class Municipality,0.118,Bukidnon,585497968.2
Marantao,Second Class Municipality,0.017,Lanao Del Sur,561085.19
Marawi,Component City,0.164,Lanao Del Sur,41154407
Marcos,Fourth Class Municipality,0.032,Ilocos Norte,224233909.8
Margosatubig,Third Class Municipality,0.02,Zamboanga Del Sur,8036275.89
Maria,Fifth Class Municipality,0.082,Siquijor Province,7289812.72
Maria Aurora,Second Class Municipality,0.311,Aurora,321775304.6
Maribojoc,Fourth Class Municipality,0.01,Bohol,21819606.72
Marihatag,Third Class Municipality,0.024,Surigao Del Sur,11039111.97
Marilao,First Class Municipality,0.072,Bulacan,1185497120
Maripipi,Fifth Class Municipality,0.02,Biliran Province,2070182.36
Mariveles,First Class Municipality,0.127,Bataan,398706454.3
Marogong,Fourth Class Municipality,0.013,Lanao Del Sur,425000
Masantol,Second Class Municipality,0.025,Pampanga,239695963.3
Masbate,Component City,0.092,Masbate Province,137051560.4
Masinloc,First Class Municipality,0.182,Zambales,816018713.3
Masiu,Fifth Class Municipality,0.014,Lanao Del Sur,0
Maslog,Fifth Class Municipality,0.006,Eastern Samar,450617.91
Mataasnakahoy,Fourth Class Municipality,0.006,Batangas Province,28467866.1
Matag-Ob,Fourth Class Municipality,0.006,Leyte Province,6893564.9
Matalam,First Class Municipality,0.057,Cotabato (North Cotabato),419279314.3
Matalom,Third Class Municipality,0.013,Leyte Province,24264299.72
Matanao,Second Class Municipality,0.046,Davao Del Sur,23436222.96
Matanog,Fourth Class Municipality,0.011,Maguindanao,938452.15
Mati,Component City,0.269,Davao Oriental,154145990
Matnog,Third Class Municipality,0.032,Sorsogon Province,6231427.35
Matuguinao,Fifth Class Municipality,0.006,Samar (Western Samar),1116332.89
Matungao,Fifth Class Municipality,0.011,Lanao Del Norte,3048828.98
Mauban,First Class Municipality,0.056,Quezon,882511869.8
Mawab,Third Class Municipality,0.032,Davao De Oro,41784794.96
Mayantoc,Third Class Municipality,0.011,Tarlac Province,15626518.55
Maydolong,Fourth Class Municipality,0.018,Eastern Samar,10258337.96
Mayorga,Fifth Class Municipality,0.005,Leyte Province,2757706.86
Mayoyao,Fourth Class Municipality,0.045,Ifugao,4910698.51
Medellin,Second Class Municipality,0.012,Cebu Province,36314196.42
Medina,Fourth Class Municipality,0.046,Misamis Oriental,255448273.6
Mendez,Fourth Class Municipality,0.004,Cavite,9773783.42
Mercedes,Second Class Municipality,0.052,Camarines Norte,20758838.88
Mercedes (ES),Fifth Class Municipality,0.009,Eastern Samar,13340318.32
Merida,Fifth Class Municipality,0.033,Leyte Province,170506138.6
Mexico,First Class Municipality,0.049,Pampanga,235889844.9
Meycauayan,Component City,0.095,Bulacan,2011566331
Miag-ao,First Class Municipality,0.035,Iloilo Province,70867403.12
Midsalip,Fourth Class Municipality,0.017,Zamboanga Del Sur,7035672.01
Midsayap,First Class Municipality,0.095,Cotabato (North Cotabato),645297425.3
Milagros,First Class Municipality,0.122,Masbate Province,364832417.9
Milaor,Fourth Class Municipality,0.008,Camarines Sur,3914549.62
Mina,Fifth Class Municipality,0.011,Iloilo Province,20969448.51
Minalabac,Third Class Municipality,0.014,Camarines Sur,6744741.26
Minalin,Fourth Class Municipality,0.022,Pampanga,212900688.4
Minglanilla,First Class Municipality,0.061,Cebu Province,627129351.6
Mlang,First Class Municipality,0.039,Cotabato (North Cotabato),62454900
Moalboal,Fourth Class Municipality,0.022,Cebu Province,257132165.7
Mobo,Fourth Class Municipality,0.026,Masbate Province,15958301.8
Mogpog,Third Class Municipality,0.087,Marinduque,24890129.96
Moises Padilla,Third Class Municipality,0.009,Negros Occidental,8905739.93
Molave,First Class Municipality,0.079,Zamboanga Del Sur,337388896.9
Moncada,First Class Municipality,0.022,Tarlac Province,33966465.79
Mondragon,Third Class Municipality,0.164,Northern Samar,241717833.9
Monkayo,First Class Municipality,0.145,Davao De Oro,579410341.6
Monreal,Fourth Class Municipality,0.016,Masbate Province,3615577.56
Montevista,Third Class Municipality,0.069,Davao De Oro,277563787.8
Morong (BN),Third Class Municipality,0.049,Bataan,288781599
Morong (RL),Second Class Municipality,0.021,Rizal,316689908.7
Motiong,Fourth Class Municipality,0.011,Samar (Western Samar),5703490.65
Mulanay,First Class Municipality,0.028,Quezon,324667899.7
Mulondo,Third Class Municipality,0.009,Lanao Del Sur,129975.57
Munai,Fourth Class Municipality,0.024,Lanao Del Norte,616612.91
Murcia,First Class Municipality,0.019,Negros Occidental,28394556.89
Mutia,Fifth Class Municipality,0.022,Zamboanga Del Norte,115709404
Naawan,Fourth Class Municipality,0.013,Misamis Oriental,21405712.46
Nabas,Fourth Class Municipality,0.039,Aklan,28120071.24
Nabua,First Class Municipality,0.028,Camarines Sur,68133370.6
Nabunturan,First Class Municipality,0.119,Davao De Oro,450394734.6
Naga (CS),Component City,0.236,Camarines Sur,1791094702
Naga (CU),Component City,0.045,Cebu Province,414172824.9
Naga (ZS),Third Class Municipality,0.039,Zamboanga Sibugay,8881294.5
Nagbukel,Fifth Class Municipality,0.017,Ilocos Sur,421398095.2
Nagcarlan,Second Class Municipality,0.011,Laguna,30639587.07
Nagtipunan,First Class Municipality,0.158,Quirino,27542793.27
Naguilian (IA),Fourth Class Municipality,0.013,Isabela,18841730.88
Naguilian (LU),First Class Municipality,0.059,La Union,307476843.9
Naic,First Class Municipality,0.022,Cavite,132153520.5
Nampicuan,Fifth Class Municipality,0.004,Nueva Ecija,13354645
Narra,First Class Municipality,0.111,Palawan,492415894.6
Narvacan,Second Class Municipality,0.039,Ilocos Sur,255800680.2
Nasipit,Third Class Municipality,0.289,Agusan Del Norte,238212340
Nasugbu,First Class Municipality,0.041,Batangas Province,664065862.4
Natividad,Fourth Class Municipality,0.009,Pangasinan,167746914.5
Natonin,Fourth Class Municipality,0.095,Mountain Province,153201354.2
Naujan,First Class Municipality,0.061,Oriental Mindoro,499821790.4
Naval,Second Class Municipality,0.359,Biliran Province,281060293.5
New Bataan,First Class Municipality,0.033,Davao De Oro,11726212.49
New Corella,Second Class Municipality,0.076,Davao Del Norte,375387694.5
New Lucena,Fourth Class Municipality,0.011,Iloilo Province,19410254.61
New Washington,Third Class Municipality,0.083,Aklan,212548896.2
Norala,Third Class Municipality,0.043,South Cotabato,225460854.6
Northern Kabuntalan,Fifth Class Municipality,0.083,Maguindanao,573769064
Norzagaray,First Class Municipality,0.039,Bulacan,635755984.7
Noveleta,Third Class Municipality,0.007,Cavite,49478486.32
Nueva Era,Third Class Municipality,0.032,Ilocos Norte,292350013.4
Nueva Valencia,Third Class Municipality,0.246,Guimaras,212507615.8
Numancia,Fourth Class Municipality,0.068,Aklan,186475375.7
Nunungan,Third Class Municipality,0.06,Lanao Del Norte,195107387.5
Oas,First Class Municipality,0.026,Albay,15617076.75
Obando,Second Class Municipality,0.016,Bulacan,254241347.1
Ocampo,Third Class Municipality,0.012,Camarines Sur,5116623.88
Odiongan,Second Class Municipality,0.133,Romblon Province,50718013.85
Old Panamao,Fourth Class Municipality,0.085,Sulu,138600000
Olutanga,Fourth Class Municipality,0.03,Zamboanga Sibugay,1774157.39
Omar,Sixth Class Municipality,0.015,Sulu,493762.96
Opol,Second Class Municipality,0.05,Misamis Oriental,145452125.4
Orani,First Class Municipality,0.072,Bataan,313366191.6
Oras,Third Class Municipality,0.04,Eastern Samar,5314029.9
Orion,Second Class Municipality,0.069,Bataan,340662341.1
Ormoc,Component City,0.143,Leyte Province,541594619.3
Oroquieta,Component City,0.098,Misamis Occidental,97603941.18
Oslob,Fourth Class Municipality,0.019,Cebu Province,228082256.3
Oton,First Class Municipality,0.044,Iloilo Province,76734794.47
Ozamiz,Component City,0.228,Misamis Occidental,290475322.7
Padada,Third Class Municipality,0.028,Davao Del Sur,34340989.32
Padre Burgos (QN),Fourth Class Municipality,0.012,Quezon,146595034.8
Padre Burgos (SL),Fifth Class Municipality,0.02,Southern Leyte,13002272.89
Padre Garcia,Second Class Municipality,0.017,Batangas Province,316005526.2
Paete,Fourth Class Municipality,0.004,Laguna,13456951.75
Pagadian,Component City,0.419,Zamboanga Del Sur,1991918273
Pagagawan,Fifth Class Municipality,0.011,Maguindanao,1747785.2
Pagalungan,First Class Municipality,0.015,Maguindanao,6347595.97
Pagayawan,Fifth Class Municipality,0.294,Lanao Del Sur,152507109
Pagbilao,First Class Municipality,0.047,Quezon,632512855.8
Paglat,Sixth Class Municipality,0.022,Maguindanao,123312216
Pagsanghan,Fifth Class Municipality,0.007,Samar (Western Samar),7249399
Pagsanjan,Third Class Municipality,0.012,Laguna,218968228.3
Pagudpud,Fourth Class Municipality,0.039,Ilocos Norte,248136494.3
Pakil,Fifth Class Municipality,0.007,Laguna,137268266.6
Palanan,First Class Municipality,0.006,Isabela,3203064.53
Palanas,Fourth Class Municipality,0.016,Masbate Province,7703798.73
Palapag,Third Class Municipality,0.031,Northern Samar,7368701
Palauig,Third Class Municipality,0.035,Zambales,26505012.52
Palayan,Component City,0.059,Nueva Ecija,686633520.4
Palimbang,Second Class Municipality,0.099,Sultan Kudarat,427358473
Palo,Third Class Municipality,0.072,Leyte Province,373789060.9
Palompon,Second Class Municipality,0.024,Leyte Province,54683904.76
Paluan,Third Class Municipality,0.022,Occidental Mindoro,8872283.56
Pambujan,Fourth Class Municipality,0.029,Northern Samar,2928407.72
Pamplona (CG),Fourth Class Municipality,0.014,Cagayan,9397342.82
Pamplona (CS),Fourth Class Municipality,0.01,Camarines Sur,0
Pamplona (NR),Third Class Municipality,0.016,Negros Oriental,10495360.34
Panabo,Component City,0.165,Davao Del Norte,560763487.2
Panaon,Fifth Class Municipality,0.018,Misamis Occidental,22660300.28
Panay,Third Class Municipality,0.035,Capiz,16712224.38
Pandag,Sixth Class Municipality,0.008,Maguindanao,567958.32
Pandami,Fourth Class Municipality,0.015,Sulu,0
Pandan (AE),Fourth Class Municipality,0.033,Antique,15670516.13
Pandan (CT),Fourth Class Municipality,0.142,Catanduanes,145842785
Pandi,Second Class Municipality,0.038,Bulacan,545050912.2
Panganiban,Fifth Class Municipality,0.022,Catanduanes,5322175.94
Pangantucan,First Class Municipality,0.026,Bukidnon,51653929
Pangil,Fourth Class Municipality,0.009,Laguna,180222722.4
Panglao,Fourth Class Municipality,0.019,Bohol,66745764.53
Panglima Estino,Fifth Class Municipality,0.017,Sulu,0
Panglima Sugala,Third Class Municipality,0.057,Tawi-Tawi,1591995
Pangutaran,Fourth Class Municipality,0.114,Sulu,218019194.1
Paniqui,First Class Municipality,0.067,Tarlac Province,420801208
Panitan,Third Class Municipality,0.073,Capiz,187001090
Pantabangan,First Class Municipality,0.031,Nueva Ecija,342397091
Pantao Ragat,Fourth Class Municipality,0.021,Lanao Del Norte,1258684.7
Pantar,Fifth Class Municipality,0.016,Lanao Del Norte,0
Pantukan,First Class Municipality,0.133,Davao De Oro,530067852
Panukulan,Fourth Class Municipality,0.004,Quezon,3970320.65
Paoay,Fourth Class Municipality,0.035,Ilocos Norte,196036573.6
Paombong,Third Class Municipality,0.015,Bulacan,231370292.6
Paracale,Third Class Municipality,0.055,Camarines Norte,11954160.27
Paracelis,Second Class Municipality,0.21,Mountain Province,295571313.4
Paranas,Second Class Municipality,0.023,Samar (Western Samar),8289708.69
Parang (MA),First Class Municipality,0.102,Maguindanao,542813781
Parang (SU),Second Class Municipality,0.164,Sulu,287835587
Pasacao,Third Class Municipality,0.037,Camarines Sur,230840616
Pasil,Fifth Class Municipality,0.041,Kalinga,3902282.01
Passi,Component City,0.06,Iloilo Province,146201700.6
Pastrana,Fifth Class Municipality,0.007,Leyte Province,7765849.98
Pasuquin,Third Class Municipality,0.044,Ilocos Norte,267846336.9
Pata,Fifth Class Municipality,0.014,Sulu,0
Patikul,Third Class Municipality,0.037,Sulu,1341000
Patnanungan,Fifth Class Municipality,0.01,Quezon,133319024.7
Patnongon,Third Class Municipality,0.037,Antique,20483296.52
Pavia,Second Class Municipality,0.128,Iloilo Province,425871401.2
Payao,Third Class Municipality,0.032,Zamboanga Sibugay,6057154.47
Penablanca,First Class Municipality,0.024,Cagayan,12165992.27
Penaranda,Fourth Class Municipality,0.021,Nueva Ecija,192720447.5
Penarrubia,Sixth Class Municipality,0.027,Abra,84792407.01
Perez,Fifth Class Municipality,0.008,Quezon,109798274.3
Piagapo,Fourth Class Municipality,0.014,Lanao Del Sur,970623.36
Piat,Fourth Class Municipality,0.017,Cagayan,20413033.7
Picong,Fourth Class Municipality,0.008,Lanao Del Sur,42602.5
Piddig,Third Class Municipality,0.035,Ilocos Norte,228872147.6
Pidigan,Fifth Class Municipality,0.04,Abra,101500938.9
Pigcawayan,First Class Municipality,0.049,Cotabato (North Cotabato),356336847.2
Pikit,First Class Municipality,0.057,Cotabato (North Cotabato),17361657.47
Pila,Third Class Municipality,0.009,Laguna,12853870.65
Pilar (AA),Fifth Class Municipality,0.037,Abra,102853262.9
Pilar (BL),Fourth Class Municipality,0.011,Bohol,11366423.73
Pilar (BN),Third Class Municipality,0.05,Bataan,231795895.3
Pilar (CU),Fifth Class Municipality,0.002,Cebu Province,2335036.98
Pilar (CZ),Third Class Municipality,0.032,Capiz,10795044.94
Pilar (SN),Fifth Class Municipality,0.01,Surigao Del Norte,5531256.74
Pilar (SO),First Class Municipality,0.16,Sorsogon Province,348721979.6
Pili,First Class Municipality,0.037,Camarines Sur,120537283.6
Pililla,First Class Municipality,0.023,Rizal,353379604.7
Pinabacdao,Fourth Class Municipality,0.012,Samar (Western Samar),1299344.13
Pinamalayan,First Class Municipality,0.051,Oriental Mindoro,360459503
Pinamungajan,Second Class Municipality,0.014,Cebu Province,32140999.77
Pinan,Fourth Class Municipality,0.012,Zamboanga Del Norte,17809913.57
Pinili,Third Class Municipality,0.015,Ilocos Norte,10530761.87
Pintuyan,Fifth Class Municipality,0.062,Southern Leyte,95102364.52
Pinukpuk,First Class Municipality,0.103,Kalinga,5071375.54
Pio Duran,Third Class Municipality,0.019,Albay,14816350.93
Pio V Corpuz,Fourth Class Municipality,0.014,Masbate Province,4781418.17
Pitogo (QN),Fourth Class Municipality,0.012,Quezon,132484914
Pitogo (ZR),Fourth Class Municipality,0.016,Zamboanga Del Sur,16510032.53
Placer (MS),Second Class Municipality,0.034,Masbate Province,13984338.43
Placer (SN),Fourth Class Municipality,0.03,Surigao Del Norte,26271440
Plaridel (BU),First Class Municipality,0.022,Bulacan,196522407.2
Plaridel (MC),Third Class Municipality,0.124,Misamis Occidental,232602339
Plaridel (QN),Fifth Class Municipality,0.007,Quezon,93003125.58
Pola,Third Class Municipality,0.021,Oriental Mindoro,196427849.1
Polanco,Third Class Municipality,0.023,Zamboanga Del Norte,21334148.13
Polangui,First Class Municipality,0.04,Albay,31249982.86
Polillo,Third Class Municipality,0.019,Quezon,260169690.7
Polomolok,First Class Municipality,0.159,South Cotabato,844490761
Pontevedra (CZ),Third Class Municipality,0.035,Capiz,21390783.2
Pontevedra (NO),Third Class Municipality,0.013,Negros Occidental,38167292.35
Poona Bayabao,Fourth Class Municipality,0.013,Lanao Del Sur,0
Poona Piagapo,Fourth Class Municipality,0.02,Lanao Del Norte,425000
Porac,First Class Municipality,0.069,Pampanga,713169082.2
Poro,Fourth Class Municipality,0.012,Cebu Province,127161308.8
Pototan,First Class Municipality,0.04,Iloilo Province,80728880.57
Pozorrubio,First Class Municipality,0.023,Pangasinan,356005552.9
Presentacion,Fourth Class Municipality,0.006,Camarines Sur,2740873.85
President Garcia,Fourth Class Municipality,0.009,Bohol,4215781.11
President Quirino,Third Class Municipality,0.048,Sultan Kudarat,224973358
President Roxas (CZ),Fourth Class Municipality,0.029,Capiz,38379333.95
President Roxas (NC),First Class Municipality,0.021,Cotabato (North Cotabato),27493474.08
Prieto Diaz,Fifth Class Municipality,0.015,Sorsogon Province,5488264.63
Prosperidad,First Class Municipality,0.064,Agusan Del Sur,39333061.79
Pualas,Fifth Class Municipality,0.006,Lanao Del Sur,0
Pudtol,Fourth Class Municipality,0.071,Apayao,8069574.77
Puerto Galera,First Class Municipality,0.022,Oriental Mindoro,299836696.1
Pugo,Fifth Class Municipality,0.013,La Union,8457486.55
Pulilan,First Class Municipality,0.036,Bulacan,678875245.3
Pulupandan,Third Class Municipality,0.007,Negros Occidental,20910103.39
Pura,Fourth Class Municipality,0.021,Tarlac Province,154902429.5
Quezon (BK),First Class Municipality,0.052,Bukidnon,112164122.2
Quezon (IA),Fourth Class Municipality,0.014,Isabela,36987654.2
Quezon (NE),Fourth Class Municipality,0.023,Nueva Ecija,186003129.9
Quezon (NV),Fourth Class Municipality,0.095,Nueva Vizcaya,132766744
Quezon (PN),First Class Municipality,0.108,Palawan,519129677.9
Quezon (QN),Fifth Class Municipality,0.009,Quezon,120208099.6
Quinapondan,Fifth Class Municipality,0.017,Eastern Samar,5146866.67
Quirino (IA),Fourth Class Municipality,0.033,Isabela,160775448.2
Quirino (IS),Fourth Class Municipality,0.017,Ilocos Sur,313282976.8
R.T. Lim,Third Class Municipality,0.033,Zamboanga Sibugay,0
Ragay,First Class Municipality,0.048,Camarines Sur,326313623
Rajah Buayan,Sixth Class Municipality,0.008,Maguindanao,820007.31
Ramon,Second Class Municipality,0.034,Isabela,108538055.1
Ramon Magsaysay,Fourth Class Municipality,0.041,Zamboanga Del Sur,176862699.3
Ramos,Fifth Class Municipality,0.018,Tarlac Province,128662542.5
Rapu-Rapu,Third Class Municipality,0.015,Albay,9847564.43
Real,First Class Municipality,0.024,Quezon,335258072.8
Reina Mercedes,Fourth Class Municipality,0.013,Isabela,33793499.78
Remedios T. Romualdez,Fifth Class Municipality,0.029,Agusan Del Norte,8070457
Rizal (CG),Fifth Class Municipality,0.009,Cagayan,5645344.78
Rizal (KA),Fourth Class Municipality,0.091,Kalinga,9008963.25
Rizal (LA),Fifth Class Municipality,0.003,Laguna,18300467.03
Rizal (NE),Second Class Municipality,0.037,Nueva Ecija,299606001.6
Rizal (OM),Third Class Municipality,0.045,Occidental Mindoro,12549013
Rizal (PN),First Class Municipality,0.033,Palawan,24420281.2
Rizal (ZN),Fifth Class Municipality,0.007,Zamboanga Del Norte,0
Rodriguez,First Class Municipality,0.117,Rizal,1482881706
Romblon,Third Class Municipality,0.093,Romblon Province,22847985.28
Ronda,Fifth Class Municipality,0.004,Cebu Province,4878429.82
Rosales,First Class Municipality,0.024,Pangasinan,381362185.9
Rosario (AS),Second Class Municipality,0.083,Agusan Del Sur,319777422.3
Rosario (BS),First Class Municipality,0.024,Batangas Province,77171602.16
Rosario (CE),First Class Municipality,0.037,Cavite,984863519.8
Rosario (LU),First Class Municipality,0.065,La Union,364479265
Rosario (NS),Fifth Class Municipality,0.009,Northern Samar,1221180.19
Roxas (CZ),Component City,0.363,Capiz,1016527562
Roxas (IA),First Class Municipality,0.035,Isabela,101918408.8
Roxas (OR),Second Class Municipality,0.035,Oriental Mindoro,41467958.01
Roxas (PN),First Class Municipality,0.038,Palawan,0
Roxas (ZN),Second Class Municipality,0.046,Zamboanga Del Norte,194039406.4
Sabangan,Fifth Class Municipality,0.074,Mountain Province,108234171.5
Sablan,Fifth Class Municipality,0.016,Benguet,9321048.96
Sablayan,First Class Municipality,0.099,Occidental Mindoro,45724247.91
Sabtang,Sixth Class Municipality,0.363,Batanes,70173300
Sadanga,Fifth Class Municipality,0.028,Mountain Province,1605189.01
Sagada,Fifth Class Municipality,0.042,Mountain Province,3064407.55
Sagay (CM),Fifth Class Municipality,0.078,Camiguin,4878785.73
Sagay (NO),Component City,0.037,Negros Occidental,138893060.7
Sagbayan,Fourth Class Municipality,0.01,Bohol,19489434.18
Sagnay,Fourth Class Municipality,0.029,Camarines Sur,196367342.1
Saguday,Fifth Class Municipality,0.052,Quirino,3509057.2
Saguiaran,Fourth Class Municipality,0.02,Lanao Del Sur,4681949.74
Saint Bernard,Fourth Class Municipality,0.127,Southern Leyte,180025533.5
Salay,Fourth Class Municipality,0.047,Misamis Oriental,247865987.5
Salcedo (ES),Fifth Class Municipality,0.026,Eastern Samar,8495500.62
Salcedo (IS),Fourth Class Municipality,0.036,Ilocos Sur,890849201
Sallapadan,Fifth Class Municipality,0.03,Abra,106746980.7
Salug,Third Class Municipality,0.016,Zamboanga Del Norte,7159595.47
Salvador,Fifth Class Municipality,0.025,Lanao Del Norte,5492447.65
Salvador Benedicto,Fourth Class Municipality,0.005,Negros Occidental,5790009.97
Samal,Fourth Class Municipality,0.048,Bataan,258034368.7
Samboan,Fifth Class Municipality,0.005,Cebu Province,19409821.74
Sampaloc,Fifth Class Municipality,0.009,Quezon,129941359.2
San Agustin (IA),Third Class Municipality,0.009,Isabela,13844939.78
San Agustin (RN),Fourth Class Municipality,0.056,Romblon Province,14326150.13
San Agustin (SS),Fourth Class Municipality,0.031,Surigao Del Sur,17550934.9
San Andres (CT),Third Class Municipality,0.083,Catanduanes,14304130.48
San Andres (QN),Fourth Class Municipality,0.019,Quezon,210085429.6
San Andres (RN),Fifth Class Municipality,0.031,Romblon Province,3654269.63
San Antonio (NE),First Class Municipality,0.022,Nueva Ecija,37682270.36
San Antonio (NS),Fifth Class Municipality,0.008,Northern Samar,2270023.5
San Antonio (QN),Fourth Class Municipality,0.017,Quezon,179037820.9
San Antonio (ZA),Second Class Municipality,0.075,Zambales,266595531.3
San Benito,Sixth Class Municipality,0.006,Surigao Del Norte,3588228.91
San Carlos (NO),Component City,0.051,Negros Occidental,430732656.3
San Carlos (PS),Component City,0.075,Pangasinan,1332444058
San Clemente,Fifth Class Municipality,0.005,Tarlac Province,6621011.78
San Dionisio,Fourth Class Municipality,0.012,Iloilo Province,8358068.63
San Emilio,Fourth Class Municipality,0.022,Ilocos Sur,525060516.9
San Enrique (IO),Third Class Municipality,0.014,Iloilo Province,19011346.24
San Enrique (NO),Fourth Class Municipality,0.005,Negros Occidental,9474128.46
San Esteban,Fifth Class Municipality,0.02,Ilocos Sur,464553521.1
San Fabian,First Class Municipality,0.03,Pangasinan,495574582.7
San Felipe,Fourth Class Municipality,0.023,Zambales,19845606.39
San Fernando (BK),First Class Municipality,0.026,Bukidnon,19008852.46
San Fernando (CS),Fourth Class Municipality,0.01,Camarines Sur,16006676.52
San Fernando (CU),Second Class Municipality,0.017,Cebu Province,84160221.38
San Fernando (LU),Component City,0.177,La Union,1193837009
San Fernando (MS),Fifth Class Municipality,0.014,Masbate Province,6970083.48
San Fernando (PA),Component City,0.227,Pampanga,2766344501
San Fernando (RN),Fourth Class Municipality,0.047,Romblon Province,7370000
San Francisco (AS),First Class Municipality,0.128,Agusan Del Sur,481914160.6
San Francisco (CU),Third Class Municipality,0.01,Cebu Province,21578326.12
San Francisco (QN),Second Class Municipality,0.029,Quezon,306347904.4
San Francisco (SL),Fifth Class Municipality,0.016,Southern Leyte,0
San Francisco (SN),Fifth Class Municipality,0.015,Surigao Del Norte,4602913.25
San Gabriel,Fourth Class Municipality,0.026,La Union,171142219.9
San Guillermo,Fourth Class Municipality,0.008,Isabela,10939147.11
San Ildefonso (BU),First Class Municipality,0.036,Bulacan,640434928.5
San Ildefonso (IS),Fifth Class Municipality,0.012,Ilocos Sur,193603493.3
San Isidro (AA),Fifth Class Municipality,0.01,Abra,0
San Isidro (BL),Fifth Class Municipality,0.004,Bohol,5385135.59
San Isidro (DN),Fifth Class Municipality,0.013,Davao Del Norte,6457663.94
San Isidro (DO),Third Class Municipality,0.225,Davao Oriental,214381354
San Isidro (IA),Fifth Class Municipality,0.01,Isabela,13250434.55
San Isidro (LE),Fourth Class Municipality,0.01,Leyte Province,9237697.77
San Isidro (NE),Second Class Municipality,0.014,Nueva Ecija,29907183.96
San Isidro (NS),Fourth Class Municipality,0.023,Northern Samar,4376680.28
San Isidro (SN),Fifth Class Municipality,0.007,Surigao Del Norte,1166891.78
San Jacinto (MS),Fourth Class Municipality,0.021,Masbate Province,15932116.5
San Jacinto (PS),Third Class Municipality,0.008,Pangasinan,47074340.51
San Joaquin,Second Class Municipality,0.019,Iloilo Province,25417007.63
San Jorge,Fourth Class Municipality,0.062,Samar (Western Samar),167102476
San Jose (AE),First Class Municipality,0.326,Antique,909990951
San Jose (BS),First Class Municipality,0.023,Batangas Province,379271892.4
San Jose (CS),Fourth Class Municipality,0.011,Camarines Sur,0
San Jose (DI),Fourth Class Municipality,0.122,Dinagat Islands,12692936.16
San Jose (NE),Component City,0.107,Nueva Ecija,1382880774
San Jose (NR),Fifth Class Municipality,0.034,Negros Oriental,140220097.1
San Jose (NS),Fifth Class Municipality,0.017,Northern Samar,5680165.4
San Jose (OM),First Class Municipality,0.417,Occidental Mindoro,750096845.3
San Jose (RN),Fifth Class Municipality,0.024,Romblon Province,4924251.53
San Jose (TC),Third Class Municipality,0.068,Tarlac Province,247062457.6
San Jose De Buan,Fourth Class Municipality,0.005,Samar (Western Samar),326075.81
San Jose Del Monte,Component City,0.114,Bulacan,811611661.9
San Juan (AA),Fifth Class Municipality,0.036,Abra,102193988.9
San Juan (BS),First Class Municipality,0.034,Batangas Province,522521430.5
San Juan (IS),Third Class Municipality,0.032,Ilocos Sur,414809550.3
San Juan (LU),Second Class Municipality,0.048,La Union,217072101.1
San Juan (SL),Fifth Class Municipality,0.022,Southern Leyte,8764832.51
San Juan (SR),Fifth Class Municipality,0.093,Siquijor Province,10977653.61
San Julian,Fifth Class Municipality,0.016,Eastern Samar,5066780.44
San Leonardo,First Class Municipality,0.038,Nueva Ecija,315260422.4
San Lorenzo,Fifth Class Municipality,0.191,Guimaras,181951088.2
San Lorenzo Ruiz,Fifth Class Municipality,0.015,Camarines Norte,4657266
San Luis (AS),First Class Municipality,0.024,Agusan Del Sur,12330580.99
San Luis (AU),Second Class Municipality,0.069,Aurora,8877936.18
San Luis (BS),Fourth Class Municipality,0.011,Batangas Province,171605037.4
San Luis (PA),Third Class Municipality,0.013,Pampanga,11057101.59
San Manuel (IA),Fourth Class Municipality,0.013,Isabela,17356742.54
San Manuel (PS),First Class Municipality,0.018,Pangasinan,305620782.8
San Manuel (TC),Fourth Class Municipality,0.016,Tarlac Province,82646176.42
San Marcelino,First Class Municipality,0.039,Zambales,57631172.26
San Mariano,First Class Municipality,0.023,Isabela,27544025
San Mateo (IA),First Class Municipality,0.032,Isabela,80635270.58
San Mateo (RL),First Class Municipality,0.076,Rizal,1040631712
San Miguel (BL),Fourth Class Municipality,0.026,Bohol,188310367.8
San Miguel (BU),First Class Municipality,0.044,Bulacan,644829524
San Miguel (CT),Fifth Class Municipality,0.034,Catanduanes,7632697.57
San Miguel (IO),Fourth Class Municipality,0.014,Iloilo Province,27225722.14
